date,Baseline,Enhanced
2021-01-01,100000.0,100000.0
2021-01-04,100000.0,100000.0
2021-01-05,100000.0,100000.0
2021-01-06,100000.0,100000.0
2021-01-07,100000.0,100000.0
2021-01-08,100000.0,100000.0
2021-01-11,100000.0,100000.0
2021-01-12,100000.0,100000.0
2021-01-13,100000.0,100000.0
2021-01-14,100000.0,100000.0
2021-01-15,100000.0,100000.0
2021-01-18,100000.0,100000.0
2021-01-19,100000.0,100000.0
2021-01-20,100000.0,100000.0
2021-01-21,100000.0,100000.0
2021-01-22,100000.0,100000.0
2021-01-25,100000.0,100000.0
2021-01-26,100000.0,100000.0
2021-01-27,100000.0,100000.0
2021-01-28,100000.0,100000.0
2021-01-29,100000.0,100000.0
2021-02-01,100000.0,100000.0
2021-02-02,100000.0,100000.0
2021-02-03,100000.0,100000.0
2021-02-04,100000.0,100000.0
2021-02-05,100000.0,100000.0
2021-02-08,100000.0,100000.0
2021-02-09,100000.0,100000.0
2021-02-10,100000.0,100000.0
2021-02-11,100000.0,100000.0
2021-02-12,100000.0,100000.0
2021-02-15,100000.0,100000.0
2021-02-16,100000.0,100000.0
2021-02-17,100000.0,100000.0
2021-02-18,100000.0,100000.0
2021-02-19,100000.0,100000.0
2021-02-22,100000.0,100000.0
2021-02-23,100000.0,100000.0
2021-02-24,100000.0,100000.0
2021-02-25,100000.0,100000.0
2021-02-26,100000.0,100000.0
2021-03-01,100000.0,100000.0
2021-03-02,100000.0,100000.0
2021-03-03,100000.0,100000.0
2021-03-04,100000.0,100000.0
2021-03-05,100000.0,100000.0
2021-03-08,100000.0,100000.0
2021-03-09,100000.0,100000.0
2021-03-10,100000.0,100000.0
2021-03-11,100000.0,100000.0
2021-03-12,100000.0,100000.0
2021-03-15,100000.0,100000.0
2021-03-16,100000.0,100000.0
2021-03-17,100000.0,100000.0
2021-03-18,100000.0,100000.0
2021-03-19,100000.0,100000.0
2021-03-22,100000.0,100000.0
2021-03-23,100000.0,100000.0
2021-03-24,100000.0,100000.0
2021-03-25,100000.0,100000.0
2021-03-26,100000.0,100000.0
2021-03-29,100000.0,100000.0
2021-03-30,100000.0,100000.0
2021-03-31,100000.0,100000.0
2021-04-01,100534.53893275179,100534.5389327518
2021-04-02,100781.0181043604,100781.01810436041
2021-04-05,100844.67550386931,100844.67550386932
2021-04-06,101360.28237111136,101360.28237111137
2021-04-07,100816.0934445409,100816.0934445409
2021-04-08,100934.44471767155,100934.44471767155
2021-04-09,100403.23591524866,100403.23591524866
2021-04-12,100605.03361627489,100605.03361627489
2021-04-13,100883.07762466256,100883.07762466258
2021-04-14,100711.3248343843,100711.3248343843
2021-04-15,101473.15564190724,101473.15564190724
2021-04-16,100102.22599522401,100102.22599522403
2021-04-19,100152.8716510325,100152.8716510325
2021-04-20,98631.72578669556,98631.72578669558
2021-04-21,98674.98624367658,98674.98624367658
2021-04-22,99103.23262773322,99103.23262773323
2021-04-23,100120.170072743,100120.170072743
2021-04-26,100844.31276405888,100844.31276405886
2021-04-27,101346.02733468999,101346.02733469
2021-04-28,102382.42839040128,102382.42839040131
2021-04-29,101998.06364077196,101998.06364077197
2021-04-30,101040.10407847188,101040.1040784719
2021-05-03,101159.15455551744,101159.15455551745
2021-05-04,100802.77007066653,100802.77007066652
2021-05-05,99770.28950760885,99770.28950760883
2021-05-06,100439.2667054028,100439.26670540278
2021-05-07,100902.02210870563,100902.02210870566
2021-05-10,100500.81194449322,100500.81194449324
2021-05-11,100891.0398480584,100891.03984805837
2021-05-12,99899.1759981048,99899.17599810481
2021-05-13,99921.4850291513,99921.4850291513
2021-05-14,99436.9223878796,99436.92238787962
2021-05-17,99213.00375882602,99213.00375882602
2021-05-18,99638.13900769629,99638.1390076963
2021-05-19,99920.5203778894,99920.5203778894
2021-05-20,100340.49245769512,100340.49245769513
2021-05-21,100473.30111654151,100473.30111654151
2021-05-24,101333.64843878259,101333.64843878259
2021-05-25,102157.77907000121,102157.77907000123
2021-05-26,102239.17970982798,102239.179709828
2021-05-27,102684.59766537319,102684.59766537319
2021-05-28,102599.27808715262,102599.2780871526
2021-05-31,103567.48892351429,103567.48892351429
2021-06-01,104018.19084939339,104544.91333140679
2021-06-02,102514.83978312029,103617.93693825885
2021-06-03,103467.09820194147,104568.00361136241
2021-06-04,104195.94564560209,105802.22039882836
2021-06-07,104649.35671237993,105999.50682601922
2021-06-08,105371.46438323057,106946.1853944115
2021-06-09,104777.50084116834,105458.30231367055
2021-06-10,105460.82778461439,105588.5731017827
2021-06-11,104855.6630515858,105499.10332313752
2021-06-14,105530.24611377792,106045.8698287751
2021-06-15,105551.59887038897,106086.57802934507
2021-06-16,105464.32798255191,105388.61944634537
2021-06-17,105303.18252478309,106112.61932956702
2021-06-18,104029.58971336167,105459.22283411463
2021-06-21,104008.22748801706,105163.2775411917
2021-06-22,103341.25805269743,104221.88045960688
2021-06-23,103886.14333004427,105236.63153701638
2021-06-24,104137.59743082935,106733.35679903557
2021-06-25,104389.2629795876,107593.55215356895
2021-06-28,104515.14429712818,108771.76432762369
2021-06-29,103807.91128431767,107516.38304010683
2021-06-30,103933.76485901233,107045.55383636293
2021-07-01,103986.40568261502,107065.61134959353
2021-07-02,103930.59929229008,107002.09230373344
2021-07-05,104945.58483456154,108032.74141198359
2021-07-06,105734.204177317,108828.39078340335
2021-07-07,105261.31343603216,108377.98637328038
2021-07-08,105018.04558551946,108151.97609740583
2021-07-09,105674.53521095989,108798.25728134223
2021-07-12,105851.73971800556,108975.86699367952
2021-07-13,107031.03519439235,110178.44138654972
2021-07-14,106184.77033930292,109317.13530051327
2021-07-15,104999.10472637533,108129.38872154991
2021-07-16,105258.61243668936,108425.9777005652
2021-07-19,104595.70399162652,107741.81800459103
2021-07-20,104595.92969161639,107721.72289909855
2021-07-21,105266.80507827444,108412.16085407622
2021-07-22,104918.86281443248,108049.5093116525
2021-07-23,104737.47272758273,107855.59674624153
2021-07-26,104990.09734467728,108111.80423416963
2021-07-27,105586.93562930504,108726.23491985626
2021-07-28,105664.82441998101,108807.86125687064
2021-07-29,105825.41698206583,108974.9515724208
2021-07-30,105709.20481961624,108865.43778435384
2021-08-02,106541.2466568586,109700.46278308649
2021-08-03,105328.941558511,108456.98989096377
2021-08-04,105038.14274420773,108171.79429176693
2021-08-05,106165.68250430742,109299.45521193085
2021-08-06,106405.47126320668,109559.48220558373
2021-08-09,107941.21068094701,111105.42202819431
2021-08-10,108040.33734797649,111189.15857798205
2021-08-11,110217.88119661588,113415.76833569666
2021-08-12,109644.02879111057,112824.2492716667
2021-08-13,108961.16288122634,112170.04712185796
2021-08-16,109185.2210851082,112390.29256282505
2021-08-17,110030.3159648728,113250.97112584769
2021-08-18,110856.25295870841,114083.10280747034
2021-08-19,110319.39607635108,113528.07706169932
2021-08-20,111051.76580705635,114268.31921912322
2021-08-23,112241.41925422059,115477.86173623959
2021-08-24,112022.4665970969,115264.07170651249
2021-08-25,110942.86939835694,114164.36561278405
2021-08-26,109709.22872393532,112894.21302404697
2021-08-27,109432.67682209291,112614.95781574171
2021-08-30,111073.37357368763,114300.22042767829
2021-08-31,111163.88450311,114413.3187373158
2021-09-01,111034.99978811675,114285.41866784374
2021-09-02,111855.70193151031,115107.50418227927
2021-09-03,111076.02402887522,114312.27953758466
2021-09-06,109559.48634029321,112749.54929445096
2021-09-07,109299.37898170983,112485.29895243376
2021-09-08,109210.50536702393,112385.49096157942
2021-09-09,108845.66794328405,112015.340329024
2021-09-10,108376.07393935048,111547.87397277202
2021-09-13,107502.4679333595,110665.7440365589
2021-09-14,107010.45232340299,110175.35550636347
2021-09-15,107044.19255003367,110211.54932806901
2021-09-16,106738.07483633705,109885.82861397802
2021-09-17,106079.26568508145,109198.5547864964
2021-09-20,105331.12248380009,108438.78312021865
2021-09-21,105827.46051098665,108944.61366048889
2021-09-22,106216.07782065739,109320.94589738827
2021-09-23,106776.52391843862,109893.594206001
2021-09-24,106981.06582156455,110116.91710642463
2021-09-27,107442.57735635471,110566.01972088043
2021-09-28,107844.34627640802,110998.2961128984
2021-09-29,108737.02956017118,111923.872484443
2021-09-30,109285.67570199925,112481.61920465593
2021-10-01,108663.29018534189,111835.4205351632
2021-10-04,107497.90448495912,110640.30322284425
2021-10-05,106370.47912882056,109490.94967299627
